player,span,matches,innings,balls,overs,maidens,runs,wickets,bestBowlingInInnings,average,economy,strikeRate,fourWicketHauls,fiveWicketHauls
YS Chahal,2013-2024,160,159,3521,586.5,4.0,4602,205,0.0,22.44,7.84,17.17,6.0,1.0
PP Chawla,2008-2024,192,191,3850,641.4,2.0,5108,192,0.0,26.6,7.96,20.05,2.0,0.0
DJ Bravo,2008-2022,161,158,3119,519.5,3.0,4360,183,0.0,23.82,8.38,17.04,2.0,0.0
B Kumar,2011-2024,176,176,3910,651.4,14.0,4929,181,0.0,27.23,7.56,21.6,2.0,2.0
SP Narine,2012-2024,177,175,4075,679.1,3.0,4571,180,0.0,25.39,6.73,22.63,7.0,1.0
R Ashwin,2009-2024,212,208,4524,754.0,4.0,5369,180,0.0,29.82,7.12,25.13,1.0,0.0
A Mishra,2008-2024,162,162,3371,561.5,6.0,4145,174,0.0,23.82,7.37,19.37,4.0,1.0
SL Malinga,2009-2019,122,122,2827,471.1,8.0,3365,170,0.0,19.79,7.14,16.62,6.0,1.0
JJ Bumrah,2013-2024,133,133,3053,508.5,8.0,3715,165,0.0,22.51,7.3,18.5,2.0,2.0
RA Jadeja,2008-2024,240,211,3829,638.1,2.0,4864,160,0.0,30.4,7.62,23.93,3.0,1.0
Harbhajan Singh,2008-2021,163,160,3416,569.2,6.0,4030,150,0.0,26.86,7.07,22.77,1.0,1.0
Rashid Khan,2017-2024,121,121,2859,476.3,4.0,3252,149,0.0,21.82,6.82,19.18,2.0,0.0
UT Yadav,2010-2024,148,147,3050,508.2,5.0,4317,144,0.0,29.97,8.49,21.18,3.0,0.0
Sandeep Sharma,2013-2024,127,126,2822,470.2,8.0,3709,137,0.0,27.07,7.88,20.59,2.0,1.0
HV Patel,2012-2024,106,103,2161,360.1,2.0,3149,135,0.0,23.32,8.74,16.0,2.0,1.0
MM Sharma,2013-2024,112,111,2253,375.3,0.0,3256,132,0.0,24.66,8.67,17.06,3.0,1.0
Mohammed Shami,2013-2023,110,110,2426,404.2,3.0,3412,127,0.0,26.86,8.43,19.1,2.0,0.0
AR Patel,2014-2024,150,148,3099,516.3,2.0,3758,123,0.0,30.55,7.27,25.19,1.0,0.0
TA Boult,2015-2024,104,103,2337,389.3,11.0,3230,121,0.0,26.69,8.29,19.31,1.0,0.0
K Rabada,2017-2024,80,80,1818,303.0,2.0,2570,117,0.0,21.96,8.48,15.53,6.0,0.0
AD Russell,2012-2024,127,112,1697,282.5,0.0,2646,115,0.0,23.0,9.35,14.75,2.0,1.0
A Nehra,2008-2017,88,88,1908,318.0,2.0,2495,106,0.0,23.53,7.84,18.0,1.0,0.0
R Vinay Kumar,2008-2018,105,104,2122,353.4,1.0,2966,105,0.0,28.24,8.38,20.2,1.0,0.0
Z Khan,2008-2017,100,99,2200,366.4,5.0,2782,102,0.0,27.27,7.58,21.56,1.0,0.0
JD Unadkat,2010-2024,105,104,2131,355.1,3.0,3189,99,0.0,32.21,8.97,21.52,0.0,2.0
DW Steyn,2008-2020,95,95,2176,362.4,7.0,2508,97,0.0,25.85,6.91,22.43,0.0,0.0
CH Morris,2013-2021,81,81,1720,286.4,1.0,2295,95,0.0,24.15,8.0,18.1,4.0,0.0
SN Thakur,2015-2024,95,92,1866,311.0,3.0,2869,94,0.0,30.52,9.22,19.85,1.0,0.0
Mohammed Siraj,2017-2024,93,93,1958,326.2,4.0,2822,93,0.0,30.34,8.64,21.05,2.0,0.0
SR Watson,2008-2020,145,105,2029,338.1,3.0,2682,92,0.0,29.15,7.93,22.05,1.0,0.0
I Sharma,2008-2024,110,110,2309,384.5,6.0,3172,92,0.0,34.47,8.24,25.09,0.0,1.0
RP Singh,2008-2016,82,82,1775,295.5,2.0,2338,90,0.0,25.97,7.9,19.72,2.0,0.0
P Kumar,2008-2017,119,119,2524,420.4,14.0,3251,90,0.0,36.12,7.72,28.04,0.0,0.0
PP Ojha,2008-2015,92,90,1899,316.3,1.0,2332,89,0.0,26.2,7.36,21.33,0.0,0.0
Kuldeep Yadav,2016-2024,84,82,1746,291.0,1.0,2388,87,0.0,27.44,8.2,20.06,4.0,0.0
DS Kulkarni,2008-2021,92,92,1787,297.5,8.0,2474,86,0.0,28.76,8.3,20.77,1.0,0.0
JA Morkel,2008-2016,91,87,1723,287.1,3.0,2355,85,0.0,27.7,8.2,20.27,1.0,0.0
